notation,prefLabel,altLabel,definition,broader,related,source,closeMatch,relatedMatch,seeAlso,broadMatch,narrower
G992B6,Blei@de|lead@en,,"sehr weiches Metall, von bläulich-gräulicher Farbe mit dem chemischen Symbol Pb und der Ordnungszahl 82. Gehört zur Gruppe der Schwermetalle und wirkt giftig auf den menschlichen Körper. Wurde in der Antike sowohl für eigenständige Objektherstellung, als auch in Pigmenten und Glasuren sowie Legierungen mit anderen Metallen verwendet. Blei läuft an der Luft unter Bildung einer passivierenden Oxidschicht an und ist auch bei Kontak mit Wasser oder Säuren stark korrosionsanfällig.",GB5BGF,F387GB,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000),S. 29, 33.| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989),S. 81/82.","http://vocab.getty.edu/aat/300011022|https://cameo.mfa.org/wiki/Lead",,,,
G8AG1C,Zink@de|zinc@en,,bläulich-weißes Metall mit dem chemischen Symbol Zn und der Ordnungszahl 30. Zink wurde in der Antike hauptsächlich als Erz bei der Kupferverhüttung bzw. -legierung verarbeitet. Erst im späten Mittelalter wird Zink gezielt als reines Metall hergestellt.,GB5BGF,F15DFD,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000),S. 29, 33.| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), S. 92/93.","http://vocab.getty.edu/aat/300011037|https://cameo.mfa.org/wiki/Zinc",,,,
G78BD6,Zinn@de|tin@en,,"silberweißes, sehr weiches Metall mit dem chemischen Symbol Sn und der Ordnungszahl 50. Zinn wird hauptsächlich als Legierungsbestandteil (z.B. für (Zinn-)Bronze oder in Weichloten) verwendet, aber auch als reines Metall für die Herstellung von Geschirr und kleinen Kulturobjekten. Gegenüber Luftsauerstoff ist es weitgehend beständig, wird jedoch von Säuren (v.a. Salpetersäure) stark angegriffen. Bei der Lagerung von Zinnobjekten unterhalb 13°C tritt das Phänomen der sog. ""Zinnpest"" auf, bei der sich das stabile Zinn in α-Zinn umwandelt, was sich in Form von Flecken und Pusteln bemerktbar macht und schleichend zur vollständigen Verstörung des Zinnobjektes führt.",GB5BGF,G6A358|CFC44A,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000),S. 29, 33.| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989),S. 80/81.","http://vocab.getty.edu/aat/300133748|https://www.wikidata.org/wiki/Q1096|https://cameo.mfa.org/wiki/Tin",,,,
F9GB13,Metalllegierung@de|metal alloy@en,Legierung@de,"Gemenge aus mindestens zwei verschiedenen chemischen Elementen, wobei eines davon ein Metall ist. Durch das gezielte Zusammenschmelzen von Metallen werden Legierungen mit spezifischen Eigenschaften wie verbesserte Festigkeit, Korrosionsbeständigkeit oder Verarbeitbarkeit hergestellt. Im festen/abgekühlten Zustand können diese Legierungsbestandteile nicht ohne weiteres mit physikalischen Methoden getrennt werden. Benannt werden Legierungen nach dem mengenmäßig überwiegend enthaltenen Metall.",B5DD1A,,"Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), S. 28.| Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 42.",http://vocab.getty.edu/aat/300010902,,,,
G4AG5C,Edelmetalllegierung@de,,"Legierung, bei dem der Hauptbestandteil ein Edelmetall ist.",F9GB13,FGA46A,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000), S. 42.",,,,,
DC5B2B,Goldlegierung@de|gold alloy@en,Goldlegierungen@de,"Legierung mit Gold als Hauptbestandteil. Da reines Gold relativ weich ist, wird es zur Verbesserung der Härte und Beständigkeit mit anderen Metallen (hauptsächlich Kupfer und Silber) legiert. Kongruent zu reinen Goldobjekten sind auch an Objekten aus Goldlegierungen kaum materialbedingte konservatorische Maßnahmen notwendig. Je nach Höhe des Anteils an unedleren Bestandteilen kann es jedoch zu oberflächlicher Verfärbung kommen.",G4AG5C,FD5149,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000),S. 56-74.|Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989),S. 38/39.","https://www.wikidata.org/wiki/Q37136268|http://vocab.getty.edu/aat/300010963|http://d-nb.info/gnd/4157867-3",,,,
AD789F,Silberlegierung@de|silver alloy@en,Silberlegierungen@de,"Legierung mit Silber als Hauptbestandteil. Reines Silber ist für viele Anwendungsbereiche zu weich, sodass es häufig mit anderen Metallen (vor allem Kupfer) legiert wird. Neben den Korrosionserscheinungen des reinen Silbers treten in Legierungssystemen weitere Korrosionen auf. So kann sich z.B. bei kupferhaltigen Silberlegierungen Kupfer-I-oxid und Kupfersulfid bilden.",G4AG5C,F135A8,"""Wilhelm P. Bauer, Grundzüge der Metallkorrosion. In: Peter Heinrich (Hrsg.), Metallrestaurierung. Beiträge zur Analyse, Konzeption und Technologie. München 2000, 63–67.""| Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000).| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989).","https://www.wikidata.org/wiki/Q52895784|http://vocab.getty.edu/aat/300010975|http://d-nb.info/gnd/4181330-3",,,,
F9F6DG,Elektrum@de|electrum@en|électrum@fr,Elektron@de,"natürlich vorkommende Legierung aus Gold und Silber, teils auch mit geringem Kupferanteil.",G4AG5C,FD5149|F135A8,"Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989).| Der Brockhaus von A-Z: In drei Bänden (Mannheim 2002).","https://cameo.mfa.org/wiki/Electrum|https://www.wikidata.org/wiki/Q239481|https://d-nb.info/gnd/4841049-4 |http://vocab.getty.edu/aat/300010965",,,,
FAG415,Unedelmetallegierung@de,,"Legierung, bei dem der Hauptbestandteil durch ein unedles Metall gebildet wird.",F9GB13,BBF566,,,,,,
BC75G1,Eisenlegierung@de|iron alloy@en,,"Legierung mit Eisen als Hauptbestandteil, die aufgrund ihrer Härte und Verfügbarkeit seit der Antike weit verbreitet für die Herstellung von Werkzeugen, Waffen und landwirtschaftlichen Geräten genutzt wurde. Die Entdeckung der Eisenherstellung (Verhüttung) stellt einen wichtigen Fortschritt in der technologischen Metallverarbeitung der Menschheitsgeschichte dar und beeinflusste maßgeblich die Entwicklung und Expansion antiker Kulturen. Eisenlegierungen sind äußerst korrosionsanfällig, wobei das Korrosionsgeschehen stark von der Legierungszusammensetzung und der Gefügestruktur abhängig ist.",FAG415,F71C6B|B19D33,"""Wilhelm P. Bauer, Grundzüge der Metallkorrosion. In: Peter Heinrich (Hrsg.), Metallrestaurierung. Beiträge zur Analyse, Konzeption und Technologie. München 2000, 63–67.""| Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000).| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989).","http://vocab.getty.edu/aat/30001090|http://d-nb.info/gnd/4014081-7",,,,
A82D86,Buntmetalllegierung@de,,"Sammelbezeichnung für farbige Legierungen mit schweren Nichteisenmetallen als Hauptbestandsteile. Wird in der archäologischen Restaurierung häufig als allgemeiner Oberbegriff für kupferhaltige Objektwerkstoffe verwendet, solange keine eindeutige Materialanalyse durchgeführt wurde.",FAG415,GB5BGF,Der Brockhaus von A-Z: In drei Bänden (Mannheim 2002).,"https://www.wikidata.org/wiki/Q355809|http://vocab.getty.edu/aat/300011014",,,,
FGB415,Kupferlegierung@de|copper alloy@en,Kupferlegierungen@de,"Legierung mit Kupfer als Hauptbestandteil. Parallel zur Verwendung von reinem Kupfer, steht auch die Herstellung von Kupferlegierung am Beginn der historischen Metallverarbeitung der Menschheitsgeschichte. Aufgrund der reichen Verfügbarkeit, guten Verarbeitbarkeit und Verständigkeit wurde Kupfer für vielerlei Gegenstände (z.B. Schmuck, Waffen, Gefäße, etc.) verwendet.",A82D86,B28FA6|GC4CA7,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000).|Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989).","https://www.wikidata.org/wiki/Q518350|http://vocab.getty.edu/aat/300010942",,,,
BF7D14,Bronze@de|bronze@en,Bronzen@de,"Kupferlegierung mit Zinn als zweiter Hauptbestandteil. Moderne Bronzen weisen in der Regel genormte Zusammensetzungen und gezielte Legierungsbestandteile auf. In historischen Bronzen finden sich, je nach Zeitstellung und Kultur, unter Umständen sehr unterschiedliche Zusammetzungen und andere Bestandteile, wie Zink, Silber, Blei, Antimon, Arsen, etc. Zur eindeutigen metallurgischen Bestimmung wird der Begriff Bronze häufig zusammen mit dem vorangestellten Hauptlegierungszusatz verwendet (Bleibronze, Arsenbronze, usw.). Bronze kann, je nach Legierungszusammensetzung, eine gelb-golde, rötliche bis weißliche Färbung aufweisen. Ebenso hängt die Verarbeitbarkeit maßgeblich von den Legierungszusammensetzten ab. Die Korrosionsanfälligkeit von Bronze entspricht im Wesentlichen der des Kupfers, wobei entsprechend der anderen Bestandteile weitere Korrosionserscheinungen auftreten können.",FGB415,B9C457,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000).|Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), 85.","http://vocab.getty.edu/aat/300010957|https://cameo.mfa.org/wiki/Bronze",https://www.wikidata.org/wiki/Q34095,,,
C1DGG5,Arsenbronze@de,,antike Bronzelegierung aus Kupfer und Arsen,BF7D14,,,,,,,
A6D8BF,Zinnbronze@de,,"Legierung aus Kupfer und Zinn, die je nach Gewichtsanteil der beiden Bestandteile unterschiedliche Eigenschaften aufweisen kann. Zinnbronzen mit höherem Kupfergehalt und Zinngehalten bis ca. 10% zeichenen sich durch eine gute Festigkeit und Umformbarkeit (Hämmer-, Walz und Schmiedbarkeit) aus, während Zinnbronzen mit einem höheren Zinngehalt an Härte und Dehnbarkeit aber auch Sprödigkeit zunehmen und daher hauptsächlich als Gusswerkstoff verwendet werden.",BF7D14,,"Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), 85/86.",,,,,
DG663G,Bleibronze@de,,Kupferlegierung aus ca. 60% Kupfer und dem Hauptlegierungsbestandteil Blei (bis zu 28%).,BF7D14,,"Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), 85.",http://vocab.getty.edu/aat/300010959,,,,
A8B271,Messing@de|brass@en,,"Kupferlegierung mit mindestens 50% Kupfer und Zink als zweiten Hauptbestandteil in unterschiedlichen Massenanteilen. Weitere Legierungsbestandteile (z.B. Blei) können zur Einstellung bestimmter Eigenschaften zugegeben sein. Messing kann, je nach Legierungszusammensetzung, eine hellgelbe, goldene bis bräunliche Färbung aufweisen. Aus diesem Grund wird es unter anderem für Goldimitationen verwendet. Messing lässt sich sehr gut gießen, ebenso gut kalt verformen sowie spanlos und spanabhebend bearbeiten, wodurch es entsprechend für die Herstellung von gegossenen Gegenständen als auch getriebenen Gefäßen verwendet wird. Messing zeigt, ebenso wie Bronze, hauptsächlich Korrosionserscheinungen entsprechend des Hauptbestandteiles Kupfer.",FGB415,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000).| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), S. 88/89.","https://www.wikidata.org/wiki/Q39782|http://vocab.getty.edu/aat/300010946|https://cameo.mfa.org/wiki/Brass",,,,
B93G16,Tombak@de|tombac@en,,"Kupfer-Zink Legierung, mit hohem Kupferanteil (> 67%) . Ähnlich dem Messing, aber durch den höheren Kupferanteil von deutlich rötlicherer Farbe.",FGB415,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (München 2000).| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), S. 88/89.","http://d-nb.info/gnd/4745413-1|http://vocab.getty.edu/aat/300196199|https://cameo.mfa.org/wiki/Tombac",,,,
F387GB,Bleilegierung@de|lead alloy@en,,Legierung mit Blei als Hauptbestandteil.,A82D86,G992B6,"Janey Cronyn, The Elements of Archaeological Conservation (London 1990), S.202.","http://d-nb.info/gnd/4145917-9|http://vocab.getty.edu/aat/300010932|https://cameo.mfa.org/wiki/Lead_alloys",,,,
G6A358,Zinnlegierung@de|tin alloy@en,,Legierung mit Zinn als Hauptbestandteil.,A82D86,CFC44A|G78BD6,"Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989),S. 80/81.| Janey Cronyn, The Elements of Archaeological Conservation (London 1990), S. 210","http://d-nb.info/gnd/4190903-3|https://www.wikidata.org/wiki/Q9346089|http://vocab.getty.edu/aat/300010978|https://cameo.mfa.org/wiki/Tin_alloys",,,,
F15DFD,Zinklegierung@de|zinc alloy@en,,Legierung mit Zink als Hauptbestandteil.,A82D86,G8AG1C,,https://www.wikidata.org/wiki/Q204835| http://vocab.getty.edu/aat/300011000 | http://d-nb.info/gnd/4190861-2 | https://cameo.mfa.org/wiki/Zinc_alloys,,,,
CD3341,organisches Material@de|organic@en,Organik@de|biologisches Material@de,Allgemeiner Sammelbegriff für natürlich von Organismen gebildete Stoffe meist tierisch- oder pflanzlichen Ursprungs.,B51DAF,,"Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989),S. 226","http://vocab.getty.edu/aat/300011792|https://cameo.mfa.org/wiki/Organic",https://www.wikidata.org/wiki/Q1783121,,,
F2A45F,Materialien tierischen Ursprungs@de|animal material@en,,Überbegriff für organische Materialien die aus verschiedenen Teilen eines Tieres hergestellt werden.,CD3341,,,http://vocab.getty.edu/aat/300011793,,,,
BA652F,Kollagenhaltiges Material@de|collagenous material@en,,Kollagenhaltiges tierisches Material,F2A45F,,,http://vocab.getty.edu/aat/300192949,,,,
FCF757,Tierhaut@de|animal skin@en,,"organisches Material aus der vom Körper abgetrennten, äußersten Gewebehülle von Tieren, die durch verschiedene Verfahren haltbar und weiter verarbeitbar gemacht wurde.",BA652F,,,,,,,
D73F9B,Leder@de|leather@en,,"Durch chemische Bearbeitung (Gerbung) haltbar gemachte Tierhaut. In der Antike und im Mittelalter wurde Leder vor allem für Schuhe, Kleidung und Behältnisse verwendet.",FCF757,,DIN EN 16484,"https://cameo.mfa.org/wiki/Leather |http://vocab.getty.edu/aat/300011845",,,,
B9C731,Pergament@de|parchment@en,,"Von Haaren befreite und unter Spannung getrocknete sehr dünne Tierhaut, die aus einem Geflecht von Collagenfasern besteht und in den meisten Fällen von Schaf, Kalb oder Ziege gewonnen wurde. Durch mehrere Verarbeitungsschritte wie Kalken,  enthaaren, Schaben und das Trocknen unter Spannung entsteht ein nahezu durchsichtiges, festes Material, welches zum Schreiben, Buchbinden oder für andere Zwecke verwendet wird.",FCF757,,"Julia Becker, Tino Licht, Bernd Schneidmüller, Pergament. In: Thomas Meier, Michael Ott, Rebecca Sauer (Hrsg), Materiale Textkulturen. Konzepte - Materialien - Praktiken. Materiale Textkulturen Bd. 1, Berlin 2015, S. 337.",,,,,
A82C8C,Rohhaut@de|rawhide@en,,"Von Fleisch und Haaren befreite und getrocknete, ungegerbte Tierhaut",FCF757,,,,,,,
GG2137,Tierfell@de|fur@en,Fell@de,"organisches Material aus der vom Körper abgetrennten, mit dichten Haaren besetzten Haut von Säugetieren.",BA652F,,,,,,,
AB4988,Fasern tierischen Ursprungs@de,Tierfaser@de|tierische Faser@de,"Natürliche Fasern, die aus den Haarfollikeln oder den Sekreten von Tieren gewonnen werden und basierend auf ihren jeweiligen Eigenschaften im kulturellen Kontext für verschiedene Anwendungen wie z.B. Kleidung, Fäden oder Dekor verarbeitet wurden.",F2A45F,,"DIN EN ISO 6938 |Antoinette Rast-Eicher, Fibres. Microscopy of archaeological textiles and furs (Budapest 2016) S. 127/128.","https://cameo.mfa.org/wiki/Animal_fibers|http://vocab.getty.edu/aat/300386673",,,,
G899F5,Haar@de|hair@en,,"Natürliche, faserartige Gebilde aus Keratin, die aus der Haut von Säugetieren wachsen.",AB4988,,,http://vocab.getty.edu/aat/300011814,,,,
AA992C,Menschenhaar@de|human hair@en,menschliches Haar@de,natürliches Material aus den Haaren des menschlichen Kopfes.,G899F5,,"Antoinette Rast-Eicher, Fibres. Microscopy of archaeological textiles and furs (Budapest 2016) S. 273/274.",http://vocab.getty.edu/aat/300011820,,,,
F8DFCG,Tierhaar@de,tierisches Haar@de|Fell@de,"natürliches Material aus dem Fell, Pelz oder der Behaarung von Tieren.",G899F5,,,,,,,
DF96G1,Wolle@de|wool@en,,"tierische Faser (Stapelfaser) aus dem charakteristischen Haarkleid des Schafes. Die Bezeichnung Wolle wird im allgemeinem Sprachgebrauch auch für die Haare anderer Tierarten verwendet, allerdings sollte zur Differenzierung deren Namen hinzugefügt werden.",F8DFCG,,DIN EN ISO 6938| CIETA Vocabularies - Vokabular der Textiltechniken,"https://cameo.mfa.org/wiki/Wool| http://vocab.getty.edu/aat/300014074",,,,
CG49C6,Alpakawolle@de,Alpaka@de,tierische Fasern aus dem Wollhaar des Alpakas,F8DFCG,,DIN EN ISO 6938,,,,,
AA47GG,Mohairwolle@de,Mohair@de,tierische Fasern aus der Wolle/den Haaren der Angoraziege,F8DFCG,,DIN EN ISO 6938,,,,,
B576DA,Kaschmirwolle@de,Kaschmir@de,tierische Fasern aus der Wolle/den Haaren der Kaschmirziege,F8DFCG,,DIN EN ISO 6938,,,,,
A9AC1A,Kaninchenhaar@de,Kaninchen@de,tierische Fasern aus den Haaren des Haus- oder Wildkaninchens,F8DFCG,,ISO 6938,,,,,
BG71D3,Schweineborsten@de,,tierische Fasern aus den borstigen Haaren des Hausschweines,F8DFCG,,"Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989),S. 267.",,,,,
D51GAA,Ziegenhaar@de,,tierische Fasern aus den Haaren der Hausziege,F8DFCG,,DIN EN ISO 6938,http://vocab.getty.edu/aat/300011818,,,,
G43GG2,Pferdehaar@de,Rosshaar@de,"tierische Fasern aus dem Fell, der Mähne oder dem Schweif des Pferdes",F8DFCG,,DIN EN ISO 6938,"https://cameo.mfa.org/wiki/Horsehair| http://vocab.getty.edu/aat/300011819",,,,
G593G4,Wildschweinborsten@de,,"tierische Fasern aus den Haaren des Wildschweines, mit außergewöhnlich kräftigen und harten Erscheinungsform im Vergleich zu Haaren anderer Tierarten.",F8DFCG,,,,,,,
F6F797,Seide@de,,"feine, glänzende Naturfaser, die aus den Kokons von Seidenspinnern, wie dem domestizierten Bombyx mori, ausgeschieden und zu Geweben verarbeitet wird.",AB4988,,CIETA Vocabularies - Vokabular der Textiltechniken,,,,,
G16647,Tussahseide@de,,"Seide, die aus den Kokons des Tussahspinners (Antheraea mit diversen Unterarten) hergestellt wird.",F6F797,,CIETA Vocabularies - Vokabular der Textiltechniken,,,,,
G21F5B,Muschelseide@de,,"Seide, die durch das Sekret bestimmter Muscheln (Steckmuschel – Pinna nobilis) hergestellt wird..",F6F797,,CIETA Vocabularies - Vokabular der Textiltechniken,,,,,
B6443F,Feder@de|feather@en,,"tierische, oft bunte Keratinstruktur, welche aus der Haut von Vögen gebildet wird und als Federkleid die äußerste Hauptbedeckung von Vögeln bildet.",AB4988,,https://de.wikipedia.org/wiki/Feder,,,,,
F3G8D1,Materialien pflanzlichen Ursprungs@de,,Überbegriff für Materialien die aus Pflanzen gewonnen werden.,CD3341,,,,,,,
G465BG,Samen@de|seed@en,,"organisches Material aus der für die Ausbreitung dienenden Gebewebestruktur von Pflanzen, bestehend aus Samenschale, Embryo und Nährgewebe.",F3G8D1,,,,,,,
